Chunk_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,7.0,0.4510999917984009,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['late', 'night', 'present', 'top', 'list', 'tonight', 'appear', 'morning', 'new', 'book', 'think', 'read', 'top', 'financial', 'tip', 'celebrity', 'finale', 'lesson', 'learn', 'way', 'persona', 'wallflower', 'build', 'wall', 'fire', 'believer', 'second', 'say', 'discuss', 'new', 'book', 'think', 'champion', 'strive', 'wholeness', 'keep', 'sense', 'wonder', 'enter', 'think', 'champion', 'sign', 'achieve', 'plateau', 'begin']"
1,8.0,0.9235000014305115,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['afraid', 'afraid', 'good', 'self', 'live', 'day', 'could', 'use', 'little', 'power', 'trumpative', 'thinking', 'barnesandnoble', 'com', 'know', 'could', 'precipice', 'great', 'read', 'great', 'interview', 'appear', 'keep', 'fast', 'short', 'direct', 'trump', 'enter', 'think', 'champion', 'sign', 'become', 'fan', 'today', 'high', 'self', 'opposition', 'think']"
2,8.0,0.8086000084877014,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['know', 'call', 'quit', 'keep', 'move', 'showcase', 'page', 'problem', 'pretend', 'run', 'last', 'week', 'enter', 'think', 'champion', 'sign', 'today', 'birthday', 'send', 'day', 'wish', 'thank', 'thoughtful', 'birthday', 'wish', 'wish', 'today', 'expand', 'life', 'day', 'free', 'raw', 'big', 'rating']"
3,3.0,0.8361999988555908,"great, border, news, happen, come, thank, process, meeting, ready, work","['friend', 'spectacular', 'entertainer', 'devastating', 'loss', 'powerful', 'safe', 'happy', 'independence', 'enjoy', 'trump', 'aware', 'thing', 'seem', 'inexplicable', 'big', 'step', 'lieutenant', 'governor', 'congrat', 'winner', 'world', 'enter', 'think', 'champion', 'sign', 'summer', 'read', 'blog', 'summer', 'reading', 'list', 'business', 'blog', 'think', 'first', 'step', 'use', 'power', 'utilize', 'develop', 'capability', 'follow', 'ivankatrump', 'terrific', 'weekend']"
4,7.0,0.5109999775886536,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['trump', 'recent', 'appearance', 'live', 'bahama', 'tonight', 'bid', 'buy', 'oreo', 'stuf', 'race', 'league', 'check', 'hysterical', 'video', 'feature', 'double', 'trump', 'enter', 'golden', 'lick', 'race', 'sweepstake', 'read', 'top', 'tip', 'success', 'lot', 'people', 'imagination', 'execute', 'upcoming', 'new', 'book', 'trump', 'card', 'watch', 'ivanka', 'trump', 'sharing', 'business', 'advice', 'entrepreneurial', 'woman', 'hear', 'spend', 'bank', 'taxis']"
5,3.0,0.8410000205039978,"great, border, news, happen, come, thank, process, meeting, ready, work","['wedding', 'spectacular', 'make', 'beautiful', 'couple', 'proud', 'father', 'work', 'begin', 'schedule', 'build', 'great', 'golf', 'course', 'history', 'tv', 'new', 'reality', 'entitle', 'merger', 'wish', 'happy', 'bountiful', 'rank', 'tall', 'building', 'building', 'wish', 'wonderful', 'happy', 'healthy', 'prosperous', 'new', 'year', 'let', 'think', 'champion', 'celebrity', 'return', 'outstanding', 'list', 'celebrity', 'season', 'good', 'trump', 'tycoon', 'app', 'last', 'night', 'fantastic', 'match', 'ca', 'mark']"
6,6.0,0.7357000112533569,"hard, woman, result, crazy, work, announce, come, source, nice, crowd","['great', 'american', 'tradition', 'colt', 'saint', 'champion', 'may', 'good', 'team', 'win', 'appear', 'today', 'question', 'appear', 'final', 'show', 'deliver', 'special', 'message', 'new', 'jewelry', 'line', 'debut', 'many', 'say', 'good', 'night', 'entertainment', 'hour', 'season', 'see', 'new', 'season', 'celebrity', 'apprentice', 'great', 'start', 'last', 'night', 'sweep', 'hour', 'key', 'demographic', 'olympic', 'gold', 'medalist', 'leave', 'office', 'town', 'want', 'fanastic', 'guy', 'true', 'announce', 'theoriginal', 'apprentice', 'offer', 'job', 'opportunity', 'need', 'come', 'last', 'week', 'episode', 'set', 'stage', 'great', 'new', 'season', 'tune']"
7,8.0,0.41530001163482666,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['collection', 'nominate', 'traveler', 'reader', 'choice', 'award', 'travel', 'leisure', 'world', 'travel', 'award', 'original', 'apprentice', 'come', 'take', 'next', 'apprentice', 'cast', 'detail', 'cast', 'call', 'information', 'nee', 'go', 'com', 'casting', 'forget', 'open', 'call', 'tower', 'tomorrow', 'apprentice', 'look', 'see', 'today', 'open', 'call', 'draw', 'thousand', 'eager', 'applicant', 'impressive', 'group', 'enjoy', 'meeting', 'get', 'great', 'candidate', 'last', 'night', 'attend', 'skate', 'fantastic', 'tune', 'part', 'attend', 'fashion', 'show', 'benefit', 'veteran', 'dress', 'host', 'last', 'think', 'champion', 'available', 'paperback', 'inspire', 'entertaining', 'great', 'read', 'trump', 'soho', 'open', 'fantastic', 'check', 'collection', 'downtown', 'soho', 'sure', 'visit', 'fantastic', 'hotel']"
8,8.0,0.5676000118255615,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['fabulous', 'tomorrow', 'night', 'great', 'adventure', 'look', 'see', 'world', 'champion', 'yankee', 'today', 'open', 'day', 'kid', 'go', 'place', 'need', 'place', 'go', 'support', 'steeler', 'play', 'night', 'panel', 'expert', 'see', 'last', 'night', 'great', 'amazing', 'theatrical', 'experience', 'appear', 'great', 'fun', 'put', 'calendar', 'may', 'miss', 'may', 'great', 'show', 'thought', 'prayer', 'remain', 'bret', 'michael', 'family', 'speedy', 'recovery', 'melania', 'appear', 'live', 'tonight', 'great', 'conversation']"
9,3.0,0.920199990272522,"great, border, news, happen, come, thank, process, meeting, ready, work","['tomorrow', 'night', 'introduce', 'beautiful', 'inspire', 'melania', 'timepiece', 'fashion', 'jewelry', 'collection', 'look', 'beautiful', 'wife', 'trump', 'debuting', 'fantastic', 'jewelry', 'collection', 'look', 'may', 'host', 'morale', 'appear', 'superstar', 'trace', 'adkin', 'pop', 'rock', 'sensation', 'boy', 'girl', 'provide', 'mother', 'fantastic', 'bret', 'send', 'good', 'wish', 'full', 'recovery', 'look', 'may', 'host', 'live', 'beautiful', 'represent', 'put', 'celebrity', 'apprentice', 'celebrity', 'check', 'ivanka', 'page', 'keep', 'happen', 'celebrity', 'apprentice', 'free', 'ticket']"
